Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2024-10032,2024-02-05,2024-02-06,First Class,CG-1083,Jennifer Lee #1,Consumer,West,Nevada,Technology,Copiers,Xerox WorkCentre,10895.57,7,0.0,2552.97
US-2021-10033,2021-11-12,2021-11-17,Standard Class,CG-1577,Linda Martinez #8,Consumer,Central,Indiana,Technology,Phones,iPhone Accessories Kit,123.65,1,0.2,15.32
US-2023-10034,2023-10-06,2023-10-09,Second Class,CG-1732,Linda Martinez #2,Consumer,Central,Illinois,Office Supplies,Paper,HP Office Paper,254.55,5,0.0,79.57
US-2022-10035,2022-09-04,2022-09-08,Second Class,CG-1430,Jennifer Lee #2,Corporate,Central,Minnesota,Office Supplies,Binders,Cardinal HOLDit Binder,259.16,11,0.0,78.36
US-2023-10036,2023-07-21,2023-07-23,First Class,CG-1606,James Wilson #6,Corporate,Central,Missouri,Technology,Machines,Fellowes Shredder,1905.21,9,0.0,600.42
US-2021-10037,2021-12-09,2021-12-10,First Class,CG-1264,Patricia Anderson #5,Consumer,Central,Minnesota,Furniture,Furnishings,Office Star Chair Mat,738.5,14,0.0,89.33
US-2023-10038,2023-12-18,2023-12-23,Standard Class,CG-1226,Michael Thomas #4,Consumer,West,Colorado,Furniture,Tables,Bretford Rectangular Table,5344.92,12,0.0,366.72
US-2023-10039,2023-05-16,2023-05-22,Standard Class,CG-1760,David Moore #3,Consumer,East,New Jersey,Furniture,Bookcases,Sauder Classic Bookcase,653.6,5,0.0,73.93
US-2024-10040,2024-03-09,2024-03-13,Second Class,CG-1714,Robert Johnson #8,Consumer,South,Virginia,Technology,Machines,Canon Copier,12409.68,12,0.0,3234.85
US-2021-10041,2021-02-19,2021-02-25,Standard Class,CG-1576,James Wilson #2,Consumer,East,Pennsylvania,Office Supplies,Labels,Avery Shipping Labels,36.02,2,0.0,8.84
US-2021-10042,2021-12-18,2021-12-21,Second Class,CG-1757,Maria Garcia #4,Home Office,Central,Missouri,Furniture,Furnishings,Office Star Chair Mat,359.66,7,0.0,61.83
US-2023-10043,2023-10-22,2023-10-27,Standard Class,CG-1464,Maria Garcia #4,Corporate,West,California,Technology,Copiers,Xerox WorkCentre,10761.14,8,0.15,1835.82
US-2022-10044,2022-12-14,2022-12-19,Standard Class,CG-1449,Maria Garcia #8,Consumer,East,Ohio,Office Supplies,Paper,Xerox 1967,298.75,5,0.0,142.31
US-2024-10045,2024-10-09,2024-10-15,Standard Class,CG-1589,Susan Jackson #1,Corporate,East,Florida,Technology,Copiers,Xerox WorkCentre,1182.65,1,0.0,375.13
US-2023-10046,2023-12-19,2023-12-24,Standard Class,CG-1356,Michael Thomas #6,Home Office,East,New Jersey,Furniture,Bookcases,Bush Saratoga Bookcase,1810.9,7,0.0,123.59
US-2021-10047,2021-05-28,2021-06-03,Standard Class,CG-1001,William Taylor #9,Consumer,Central,Michigan,Furniture,Furnishings,DAX Metal Frame,40.81,2,0.3,-0.69
US-2021-10048,2021-07-07,2021-07-14,Standard Class,CG-1124,John Smith #4,Consumer,Central,Indiana,Furniture,Chairs,HON Executive Chair,1991.52,3,0.0,377.69
US-2023-10049,2023-10-18,2023-10-24,Standard Class,CG-1494,Jennifer Lee #4,Home Office,West,California,Furniture,Chairs,Mesh Office Chair,2265.49,8,0.15,29.67
US-2022-10050,2022-07-13,2022-07-20,Standard Class,CG-1305,Susan Jackson #8,Consumer,East,Pennsylvania,Office Supplies,Labels,Avery Shipping Labels,261.95,13,0.0,74.62
US-2024-10051,2024-12-18,2024-12-24,Standard Class,CG-1762,Jennifer Lee #7,Home Office,East,Florida,Furniture,Bookcases,Bush Saratoga Bookcase,680.26,4,0.3,-123.31
US-2022-10052,2022-06-16,2022-06-16,Same Day,CG-1800,James Wilson #6,Consumer,East,Florida,Technology,Phones,Motorola Smart Phone,1649.12,8,0.0,272.05
US-2024-10053,2024-10-21,2024-10-27,Standard Class,CG-1764,Maria Garcia #7,Home Office,Central,Minnesota,Furniture,Bookcases,Sauder Classic Bookcase,183.46,1,0.15,23.76
US-2021-10054,2021-12-15,2021-12-21,Standard Class,CG-1184,Robert Johnson #3,Consumer,South,North Carolina,Technology,Phones,Cisco IP Phone,1705.69,7,0.0,448.91
US-2024-10055,2024-02-20,2024-02-24,Second Class,CG-1559,Robert Johnson #2,Consumer,South,Virginia,Technology,Machines,HP LaserJet Printer,839.35,1,0.0,174.19
US-2023-10056,2023-07-19,2023-07-25,Standard Class,CG-1716,James Wilson #1,Home Office,Central,Missouri,Office Supplies,Art,Dixon Ticonderoga,11.7,2,0.0,4.36
US-2024-10057,2024-12-09,2024-12-16,Standard Class,CG-1635,James Wilson #3,Corporate,Central,Texas,Office Supplies,Supplies,Acme Stapler,169.28,4,0.0,66.19
US-2021-10058,2021-10-10,2021-10-13,Second Class,CG-1374,David Moore #9,Corporate,East,New Jersey,Technology,Machines,HP LaserJet Printer,1261.44,3,0.0,410.34
US-2022-10059,2022-12-09,2022-12-11,First Class,CG-1741,William Taylor #7,Consumer,South,Tennessee,Office Supplies,Fasteners,Staple remover,7.98,2,0.0,3.66
US-2023-10060,2023-12-03,2023-12-04,First Class,CG-1574,Patricia Anderson #4,Home Office,West,California,Furniture,Bookcases,Sauder Classic Bookcase,623.04,6,0.0,108.35
US-2024-10061,2024-10-23,2024-10-29,Standard Class,CG-1760,Karen White #9,Consumer,West,California,Office Supplies,Labels,Avery Shipping Labels,77.7,4,0.3,5.54
US-2022-10062,2022-07-14,2022-07-18,Second Class,CG-1660,Patricia Anderson #1,Consumer,East,Ohio,Technology,Machines,Canon Copier,4337.44,4,0.2,428.94
US-2022-10063,2022-06-04,2022-06-04,Same Day,CG-1783,David Moore #4,Corporate,West,Washington,Furniture,Chairs,HON Executive Chair,2777.64,4,0.0,252.88
US-2022-10064,2022-09-11,2022-09-14,Second Class,CG-1016,Robert Johnson #5,Consumer,West,Washington,Office Supplies,Labels,Avery Address Labels,106.34,14,0.1,31.55
US-2024-10065,2024-01-17,2024-01-22,Standard Class,CG-1533,James Wilson #8,Consumer,East,Ohio,Furniture,Chairs,Global Troy Chair,1608.4,10,0.0,359.31
US-2021-10066,2021-10-02,2021-10-02,Same Day,CG-1599,David Moore #6,Home Office,East,New York,Furniture,Furnishings,Eldon Shelf,288.15,6,0.15,15.81
US-2023-10067,2023-06-15,2023-06-21,Standard Class,CG-1747,Maria Garcia #6,Consumer,West,Colorado,Technology,Accessories,HP Mouse,117.92,4,0.0,27.09
US-2023-10068,2023-07-12,2023-07-12,Same Day,CG-1686,Maria Garcia #7,Corporate,West,California,Technology,Phones,Cisco IP Phone,1961.91,9,0.0,514.68
US-2024-10069,2024-06-28,2024-06-29,First Class,CG-1780,James Wilson #4,Consumer,South,Louisiana,Technology,Phones,iPhone Accessories Kit,684.22,8,0.2,43.46
US-2021-10070,2021-11-20,2021-11-22,First Class,CG-1145,Karen White #1,Consumer,West,Oregon,Office Supplies,Labels,Avery Shipping Labels,82.2,3,0.0,26.32
US-2022-10071,2022-02-13,2022-02-19,Standard Class,CG-1677,Michael Thomas #8,Consumer,West,Oregon,Office Supplies,Paper,Xerox 1967,791.57,13,0.0,222.93
US-2024-10072,2024-09-09,2024-09-16,Standard Class,CG-1216,Robert Johnson #5,Consumer,West,Nevada,Technology,Copiers,Xerox WorkCentre,18704.01,7,0.1,2436.83
US-2021-10073,2021-05-01,2021-05-07,Standard Class,CG-1470,Maria Garcia #6,Corporate,West,Nevada,Furniture,Tables,Bretford Rectangular Table,6634.1,11,0.0,910.49
US-2024-10074,2024-09-23,2024-09-27,Second Class,CG-1603,Michael Thomas #9,Consumer,West,California,Office Supplies,Storage,SAFCO Mobile Tub File,1353.36,12,0.0,369.46
US-2023-10075,2023-02-24,2023-03-02,Standard Class,CG-1151,Linda Martinez #2,Consumer,Central,Texas,Furniture,Chairs,Mesh Office Chair,2435.42,13,0.0,520.67
US-2022-10076,2022-03-06,2022-03-09,Second Class,CG-1642,Patricia Anderson #3,Home Office,West,Colorado,Furniture,Furnishings,DAX Metal Frame,439.3,10,0.0,50.36
US-2024-10077,2024-07-15,2024-07-19,Second Class,CG-1519,Michael Thomas #8,Consumer,East,Ohio,Furniture,Bookcases,Sauder Classic Bookcase,161.12,1,0.0,27.87
US-2021-10078,2021-09-15,2021-09-16,First Class,CG-1176,John Smith 4,Consumer,East,Georgia,Furniture,Chairs,Global Troy Chair,3302.04,14,0.0,498.31
US-2024-10079,2024-10-17,2024-10-22,Standard Class,CG-1290,James Wilson #3,Corporate,East,Ohio,Furniture,Bookcases,Bush Saratoga Bookcase,1111.14,11,0.45,-193.7
US-2022-10080,2022-06-12,2022-06-19,Standard Class,CG-1756,William Taylor #9,Corporate,Central,Missouri,Technology,Phones,Cisco IP Phone,4812.5,11,0.0,1366.86
US-2024-10081,2024-02-17,2024-02-23,Standard Class,CG-1552,Karen White #9,Consumer,West,Washington,Technology,Copiers,Canon imageCLASS,2957.79,3,0.0,744.0
US-2023-10082,2023-01-25,2023-01-29,Second Class,CG-1625,James Wilson #8,Consumer,West,Washington,Office Supplies,Storage,SAFCO Mobile Tub File,439.53,7,0.0,215.75
US-2022-10083,2022-04-10,2022-04-10,Same Day,CG-1204,Susan Jackson #3,Corporate,South,Virginia,Technology,Copiers,Xerox WorkCentre,22928.62,13,0.0,7870.33
US-2021-10084,2021-12-21,2021-12-27,Standard Class,CG-1447,Maria Garcia #4,Consumer,East,New York,Office Supplies,Paper,Hammermill Copy Plus,92.73,3,0.0,22.65
US-2023-10085,2023-11-01,2023-11-07,Standard Class,CG-1149,Robert Johnson #1,Consumer,East,Pennsylvania,Furniture,Chairs,Global Troy Chair,2296.26,6,0.0,413.31
US-2024-10086,2024-05-23,2024-05-25,First Class,CG-1113,James Wilson #4,Consumer,East,New York,Office Supplies,Binders,Cardinal HOLDit Binder,93.15,3,0.0,33.38
US-2021-10087,2021-05-08,2021-05-15,Standard Class,CG-1001,Susan Jackson #6,Corporate,East,New York,Office Supplies,Supplies,Desk Accessories Kit,560.12,11,0.0,160.97
US-2024-10088,2024-04-06,2024-04-09,Second Class,CG-1016,Patricia Anderson #2,Home Office,East,Ohio,Technology,Phones,Motorola Smart Phone,454.27,1,0.0,91.19
US-2021-10089,2021-06-25,2021-07-01,Standard Class,CG-1794,Jennifer Lee #1,Consumer,West,Oregon,Furniture,Tables,Bretford Rectangular Table,5271.24,12,0.0,330.09
US-2021-10090,2021-05-26,2021-05-31,Standard Class,CG-1671,Patricia Anderson #5,Consumer,East,Ohio,Furniture,Furnishings,Office Star Chair Mat,477.18,11,0.0,98.38
US-2023-10091,2023-02-14,2023-02-16,First Class,CG-1744,Michael Thomas #2,Corporate,South,Alabama,Technology,Accessories,HP Mouse,284.1,6,0.0,88.14
US-2022-10092,2022-07-18,2022-07-23,Standard Class,CG-1445,James Wilson #1,Consumer,West,Colorado,Technology,Copiers,Xerox WorkCentre,10899.78,8,0.2,1231.35
US-2024-10093,2024-02-12,2024-02-19,Standard Class,CG-1580,John Smith #3,Consumer,Central,Texas,Technology,Copiers,Canon imageCLASS,6936.88,4,0.0,1571.7
US-2023-10094,2023-10-12,2023-10-17,Standard Class,CG-1575,Maria Garcia #5,Consumer,East,Florida,Technology,Machines,Fellowes Shredder,135.06,2,0.2,9.1
US-2024-10095,2024-11-07,2024-11-07,Same Day,CG-1726,Maria Garcia #9,Consumer,Central,Missouri,Technology,Accessories,Logitech Keyboard,725.86,12,0.2,89.69
US-2023-10096,2023-09-28,2023-10-05,Standard Class,CG-1567,Susan Jackson #6,Consumer,South,Mississippi,Technology,Machines,Fellowes Shredder,686.88,4,0.2,-3.26
US-2022-10097,2022-08-20,2022-08-21,First Class,CG-1696,David Moore #6,Home Office,West,Colorado,Office Supplies,Envelopes,Recycled Mailers,20.26,2,0.0,6.79
US-2022-10098,2022-03-25,2022-03-25,Same Day,CG-1080,James Wilson #4,Consumer,East,New York,Office Supplies,Storage,Iris Stacking Drawers,399.46,6,0.3,91.27
US-2023-10099,2023-10-05,2023-10-08,Second Class,CG-1029,Maria Garcia #1,Corporate,East,Pennsylvania,Furniture,Tables,Riverside Folding Table,4447.2,12,0.0,956.36
US-2023-10100,2023-12-21,2023-12-28,Standard Class,CG-1464,Maria Garcia #1,Home Office,East,New Jersey,Technology,Machines,Fellowes Shredder,973.04,8,0.0,224.98
US-2024-10101,2024-03-16,2024-03-22,Standard Class,CG-1247,Jennifer Lee #2,Home Office,East,Ohio,Office Supplies,Fasteners,Acme Staple Gun,124.86,3,0.0,28.95
US-2022-10102,2022-05-05,2022-05-11,Standard Class,CG-1527,Jennifer Lee #8,Home Office,South,Louisiana,Furniture,Tables,Bevis Conference Table,5851.56,12,0.0,875.7
US-2024-10103,2024-12-01,2024-12-07,Standard Class,CG-1292,David Moore #1,Consumer,East,Pennsylvania,Technology,Machines,Canon Copier,8780.16,8,0.0,2497.99
US-2024-10104,2024-12-05,2024-12-07,First Class,CG-1286,Susan Jackson #2,Consumer,Central,Michigan,Technology,Phones,iPhone Accessories Kit,444.1,5,0.0,134.51
US-2021-10105,2021-03-13,2021-03-19,Standard Class,CG-1531,Jennifer Lee #3,Consumer,East,Ohio,Office Supplies,Art,Avery Flip-Chart Markers,80.71,9,0.2,22.69
US-2022-10106,2022-09-11,2022-09-13,First Class,CG-1017,Patricia Anderson 6,Consumer,West,Arizona,Office Supplies,Labels,Avery Shipping Labels,185.85,9,0.0,53.88
US-2024-10107,2024-10-19,2024-10-26,Standard Class,CG-1052,Susan Jackson #8,Home Office,Central,Indiana,Technology,Copiers,Xerox WorkCentre,38273.43,13,0.0,7482.79
US-2024-10108,2024-03-05,2024-03-06,First Class,CG-1482,Karen White #1,Consumer,West,Colorado,Technology,Phones,Motorola Smart Phone,876.43,3,0.2,127.08
US-2022-10109,2022-10-18,2022-10-25,Standard Class,CG-1697,William Taylor #5,Home Office,East,Georgia,Technology,Accessories,HP Mouse,204.72,6,0.0,66.23
US-2022-10110,2022-09-08,2022-09-14,Standard Class,CG-1738,James Wilson #5,Corporate,West,Oregon,Office Supplies,Art,Avery Flip-Chart Markers,146.34,6,0.0,70.29
US-2024-10111,2024-02-13,2024-02-14,First Class,CG-1551,James Wilson #9,Home Office,West,Oregon,Office Supplies,Paper,Hammermill Copy Plus,332.86,11,0.0,86.75
US-2022-10112,2022-10-04,2022-10-07,Second Class,CG-1789,Robert Johnson #1,Consumer,West,Colorado,Office Supplies,Art,Avery Flip-Chart Markers,44.8,2,0.0,10.31
US-2022-10113,2022-12-14,2022-12-18,Second Class,CG-1740,John Smith #3,Consumer,East,Pennsylvania,Office Supplies,Labels,Avery Shipping Labels,25.34,1,0.1,7.11
US-2022-10114,2022-07-02,2022-07-02,Same Day,CG-1465,William Taylor #9,Consumer,Central,Illinois,Office Supplies,Labels,Avery Address Labels,182.5,10,0.0,54.84
US-2022-10115,2022-08-28,2022-09-03,Standard Class,CG-1775,Linda Martinez #3,Corporate,West,California,Technology,Copiers,Xerox WorkCentre,2473.24,1,0.0,651.84
US-2024-10116,2024-09-27,2024-10-03,Standard Class,CG-1273,Patricia Anderson #5,Consumer,West,Colorado,Technology,Accessories,HP Mouse,60.96,4,0.0,14.59
US-2021-10117,2021-09-09,2021-09-12,Second Class,CG-1302,Patricia Anderson #4,Corporate,West,California,Furniture,Tables,Bevis Conference Table,9142.8,12,0.0,1625.06
US-2022-10118,2022-04-16,2022-04-23,Standard Class,CG-1540,Karen White #6,Corporate,South,Tennessee,Furniture,Furnishings,DAX Metal Frame,347.62,14,0.0,53.92
US-2021-10119,2021-02-02,2021-02-03,First Class,CG-1056,Jennifer Lee #3,Corporate,East,Pennsylvania,Technology,Copiers,Canon imageCLASS,14397.89,12,0.2,1138.82
US-2024-10120,2024-08-19,2024-08-25,Standard Class,CG-1065,David Moore #1,Corporate,Central,Michigan,Office Supplies,Envelopes,Recycled Mailers,98.28,12,0.3,6.23
US-2021-10121,2021-12-16,2021-12-22,Standard Class,CG-1082,William Taylor #9,Home Office,West,Washington,Office Supplies,Envelopes,Recycled Mailers,109.41,7,0.0,34.27
US-2023-10122,2023-03-04,2023-03-11,Standard Class,CG-1388,Linda Martinez #4,Corporate,East,Pennsylvania,Office Supplies,Art,Sanford Colorific Pencils,59.75,5,0.0,19.55
US-2022-10123,2022-07-09,2022-07-16,Standard Class,CG-1045,Michael Thomas #8,Consumer,Central,Texas,Office Supplies,Envelopes,Poly String Clasp Env,13.02,2,0.0,3.56
US-2022-10124,2022-04-25,2022-04-26,First Class,CG-1533,Linda Martinez #7,Corporate,West,Oregon,Technology,Machines,Fellowes Shredder,2410.43,11,0.0,836.75
US-2021-10125,2021-05-18,2021-05-18,Same Day,CG-1418,Robert Johnson #5,Home Office,East,Georgia,Furniture,Chairs,Global Troy Chair,2698.19,11,0.0,510.66
US-2024-10126,2024-06-08,2024-06-10,First Class,CG-1338,William Taylor #2,Consumer,Central,Illinois,Office Supplies,Binders,GBC DocuBind,406.85,7,0.1,79.95
US-2023-10127,2023-12-03,2023-12-08,Standard Class,CG-1213,Patricia Anderson #5,Consumer,West,Nevada,Furniture,Chairs,HON Executive Chair,6419.27,13,0.0,599.58
US-2021-10128,2021-12-07,2021-12-08,First Class,CG-1367,James Wilson #5,Home Office,Central,Missouri,Office Supplies,Art,Dixon Ticonderoga,43.22,9,0.3,5.19
US-2024-10129,2024-06-15,2024-06-22,Standard Class,CG-1566,Susan Jackson #7,Consumer,East,Ohio,Office Supplies,Fasteners,Acme Staple Gun,452.4,10,0.0,92.68
US-2022-10130,2022-05-11,2022-05-18,Standard Class,CG-1172,Karen White 6,Corporate,Central,Missouri,Furniture,Bookcases,Sauder Classic Bookcase,2341.04,8,0.0,346.75
US-2024-10131,2024-03-06,2024-03-07,First Class,CG-1517,Jennifer Lee #6,Consumer,East,New York,Office Supplies,Binders,Avery Non-Stick Binder,378.98,14,0.0,76.84
US-2024-10132,2024-01-22,2024-01-27,Standard Class,CG-1183,Maria Garcia #2,Home Office,East,Georgia,Technology,Machines,Fellowes Shredder,165.38,1,0.0,39.05
US-2022-10133,2022-08-07,2022-08-11,Second Class,CG-1700,Maria Garcia #1,Home Office,Central,Michigan,Office Supplies,Paper,Hammermill Copy Plus,340.8,8,0.0,91.25
US-2024-10134,2024-02-13,2024-02-18,Standard Class,CG-1540,John Smith 4,Corporate,East,New Jersey,Technology,Copiers,Xerox WorkCentre,12790.26,6,0.0,2162.48
US-2024-10135,2024-04-09,2024-04-14,Standard Class,CG-1729,Michael Thomas #2,Home Office,Central,Michigan,Office Supplies,Binders,Avery Non-Stick Binder,33.3,6,0.0,14.18
US-2022-10136,2022-05-19,2022-05-21,First Class,CG-1348,Susan Jackson #7,Consumer,Central,Minnesota,Technology,Accessories,Logitech Keyboard,265.8,6,0.0,84.45
US-2023-10137,2023-12-01,2023-12-05,Second Class,CG-1730,Maria Garcia #2,Consumer,East,Ohio,Furniture,Furnishings,Office Star Chair Mat,648.12,10,0.15,58.08
US-2024-10138,2024-05-23,2024-05-26,Second Class,CG-1441,Jennifer Lee #9,Home Office,Central,Michigan,Technology,Phones,Samsung Galaxy Tab,4895.68,8,0.0,819.83
US-2024-10139,2024-09-04,2024-09-10,Standard Class,CG-1248,Susan Jackson #9,Consumer,East,Florida,Furniture,Bookcases,Sauder Classic Bookcase,636.48,7,0.45,-82.08
US-2024-10140,2024-03-06,2024-03-12,Standard Class,CG-1738,William Taylor #8,Consumer,West,Washington,Technology,Copiers,Xerox WorkCentre,20522.64,8,0.0,6953.98
US-2022-10141,2022-09-15,2022-09-21,Standard Class,CG-1139,James Wilson #6,Consumer,West,Nevada,Technology,Copiers,Xerox WorkCentre,18416.65,7,0.0,6350.89
US-2022-10142,2022-09-16,2022-09-22,Standard Class,CG-1116,Susan Jackson #4,Corporate,South,Tennessee,Office Supplies,Supplies,Desk Accessories Kit,255.36,6,0.0,81.17
US-2022-10143,2022-09-22,2022-09-25,Second Class,CG-1418,William Taylor #8,Corporate,South,Alabama,Office Supplies,Art,Dixon Ticonderoga,158.34,14,0.0,69.46
US-2023-10144,2023-03-08,2023-03-13,Standard Class,CG-1368,Karen White #9,Corporate,Central,Missouri,Technology,Copiers,Xerox WorkCentre,33367.88,14,0.0,10282.12
US-2021-10145,2021-09-04,2021-09-08,Second Class,CG-1531,David Moore #4,Home Office,West,Arizona,Technology,Copiers,Xerox WorkCentre,7634.91,7,0.1,1314.24
US-2024-10146,2024-07-15,2024-07-18,Second Class,CG-1319,Patricia Anderson #8,Home Office,East,New York,Furniture,Bookcases,Sauder Classic Bookcase,211.08,2,0.0,16.53
US-2024-10147,2024-11-12,2024-11-18,Standard Class,CG-1168,Karen White #4,Corporate,Central,Missouri,Technology,Machines,Canon Copier,1045.18,2,0.0,298.32
US-2022-10148,2022-08-11,2022-08-17,Standard Class,CG-1606,Michael Thomas #7,Corporate,West,Nevada,Furniture,Tables,Bretford Rectangular Table,1502.2,7,0.0,134.39
US-2022-10149,2022-01-07,2022-01-14,Standard Class,CG-1654,Patricia Anderson #7,Consumer,Central,Texas,Furniture,Tables,Bevis Conference Table,2946.96,8,0.0,435.85
US-2021-10150,2021-09-12,2021-09-18,Standard Class,CG-1144,David Moore #7,Corporate,East,New Jersey,Office Supplies,Labels,Avery Address Labels,60.0,6,0.0,18.72
US-2022-10151,2022-07-19,2022-07-24,Standard Class,CG-1367,John Smith #8,Consumer,East,Florida,Office Supplies,Storage,SAFCO Mobile Tub File,149.2,5,0.3,21.76
US-2024-10152,2024-03-18,2024-03-24,Standard Class,CG-1281,Linda Martinez 9,Consumer,East,Georgia,Furniture,Furnishings,Office Star Chair Mat,321.6,10,0.0,34.87
